,best_match_score,Facility Name,Provider Name,Address,Provider Street Address,Provider City,City,Provider State,State
300828,-1.111651961086538,OCEANS BEHAVIORAL HOSPITAL OF LUFKIN LLC,MEMORIAL MEDICAL CENTER OF EAST TEXAS,302 GOBBLERS KNOB RD,1201 WEST FRANK STREET,LUFKIN,LUFKIN,TX,TX
93894,-1.1112963577116985,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,BAPTIST MEMORIAL HOSPITAL UNION CITY,"800 STE GENEVIEVE DRIVE, PO BOX 468","1201 BISHOP ST, PO BOX 310",UNION CITY,SAINTE GENEVIEVE,TN,MO
21919,-1.104681520268099,RIVER PLACE BEHAVIORAL HEALTH,MEDICAL CENTER HOSPITAL,500 RUE DE SANTE,500 W 4TH STREET,ODESSA,LA PLACE,TX,LA
104478,-1.1043534164063102,HANS P PETERSON MEMORIAL HOSPITAL - CAH,PRAIRIE LAKES HOSPITAL,503 W PINE  POST OFFICE BOX 790,401 9TH AVENUE NW  POST OFFICE BOX 1210,WATERTOWN,PHILIP,SD,SD
316282,-1.102996852826944,GREYSTONE PARK PSYCH HOSP,ORANGE PARK MEDICAL CENTER,59 KOCH AVENUE,2001 KINGSLEY AVE,ORANGE PARK,GREYSTONE PARK,FL,NJ
309066,-1.1025206996677366,PROGRESS WEST HOSPITAL,IU HEALTH WEST HOSPITAL,2 PROGRESS POINT PKWY,1111 N RONALD REAGAN PKWY,AVON,O FALLON,IN,MO
268363,-1.100608109955146,Irwin ACH (FT Riley),WYTHE COUNTY COMMUNITY HOSPITAL,600 Caisson Hill Road,600 WEST RIDGE ROAD,WYTHEVILLE,Fort Riley,VA,KS
497938,-1.0954804426657765,HOSPITAL DAMAS INC,THOMAS HOSPITAL,PONCE BY PASS #2213,750 MORPHY AVENUE,FAIRHOPE,PONCE,AL,PR
446283,-1.0936000354102566,LINDNER CENTER OF HOPE,HOLY FAMILY MEMORIAL,4075 OLD WESTERN ROW ROAD,2300 WESTERN AVE,MANITOWOC,MASON,WI,OH
57731,-1.0898723869023845,INCLINE VILLAGE HEALTH CENTER,RENOWN REGIONAL MEDICAL CENTER,880 ALDER STREET,1155 MILL STREET,RENO,INCLINE VILLAGE,NV,NV
94560,-1.0895911733458468,MAMMOTH HOSPITAL,BAPTIST EASLEY HOSPITAL,85 SIERRA PARK ROAD PO BOX 660,PO BOX 2129,EASLEY,MAMMOTH LAKES,SC,CA
400117,-1.0891901503821013,SAN CARLOS APACHE HEALTHCARE,WAYNE MEDICAL CENTER,103 MEDICINE WAY ROAD,103 J V MANGUBAT DR,WAYNESBORO,PERIDOT,TN,AZ
266848,-1.0879363786031482,ST SIMONS-BY-THE-SEA,ST ANTHONY'S MEDICAL CENTER,2927 DEMERE ROAD,10010 KENNERLY ROAD,SAINT LOUIS,SAINT SIMONS ISLAND,MO,GA
22929,-1.087519072364259,MENTAL HEALTH SERVICES FOR CLARK AND MADISON COS,MADISON COUNTY HOSPITAL INC,474 NORTH YELLOW SPRINGS STREET,210 NORTH MAIN STREET,LONDON,SPRINGFIELD,OH,OH
220351,-1.0873073167018055,DEVEREUX TEXAS TREATMENT NETWORK,LAKE CITY MEDICAL CENTER,1150 DEVEREUX DR,340 NW COMMERCE DR,LAKE CITY,LEAGUE CITY,FL,TX
163009,-1.0866984972841103,SUN BEHAVIORAL DELAWARE LLC,GEORGETOWN COMMUNITY HOSPITAL,21655 BIDEN AVENUE,1140 LEXINGTON ROAD,GEORGETOWN,GEORGETOWN,KY,DE
401808,-1.0842370341445704,SAN JUAN MUNICIPAL HOSPITAL,SAN JUAN REGIONAL MEDICAL CENTER,"BARRIO MONACILLOS,CENTRO MEDICO",801 WEST MAPLE STREET,FARMINGTON,RIO PIEDRAS,NM,PR
33120,-1.0840859360064072,HUDSON COUNTY MEADOWVIEW PSYCHIATRIC H,MEADOWVIEW REGIONAL MEDICAL CENTER,595 COUNTY AVENUE,989 MEDICAL PARK DRIVE,MAYSVILLE,SECAUCUS,KY,NJ
468473,-1.0825604188968838,HOAG ORTHOPEDIC INSTITUTE,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,16250 SAND CANYON AVENUE,ONE HOAG DRIVE,NEWPORT BEACH,IRVINE,CA,CA
365051,-1.0822805509914784,OCEANS HOSPITAL OF BROUSSARD,BAKERSFIELD MEMORIAL HOSPITAL,420 ALBERTSONS PARKWAY,420 34TH ST BOX,BAKERSFIELD,BROUSSARD,CA,LA
89514,-1.079584936797997,CORNERSTONE BEHAVIORAL HEALTH HOSPITAL OF UNION CO,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,40 WATCHUNG WAY,ONE CAPITAL WAY,PENNINGTON,BERKELEY HEIGHTS,NJ,NJ
85609,-1.0773993397006714,HACKENSACK MERIDIAN HEALTH CARRIER CLINIC,HACKENSACK-UMC AT PASCACK VALLEY,252 ROUTE 601,250 OLD HOOK ROAD,WESTWOOD,BELLE MEAD,NJ,NJ
71304,-1.071059505584097,MIDDLE TN MENTAL HEALTH INSTITUTE,TRISTAR SKYLINE MEDICAL CENTER,221 STEWARTS FERRY PIKE,3441 DICKERSON PIKE,NASHVILLE,NASHVILLE,TN,TN
144578,-1.0696374863599303,ATRIUM HEALTH ANSON,ATRIUM MEDICAL CENTER,2301 US HIGHWAY 74 WEST,ONE MEDICAL CENTER DRIVE,FRANKLIN,WADESBORO,OH,NC
159337,-1.0669289930710377,CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,VALLEY HOSPITAL,820 NORTH CHELAN AVENUE,12606 EAST MISSION AVENUE,SPOKANE,WENATCHEE,WA,WA
501703,-1.065772633351361,PALM POINT BEHAVIORAL HEALTH,PARRISH MEDICAL CENTER,2355 TRUMAN SCARBOROUGH WAY,951 N WASHINGTON AVE,TITUSVILLE,TITUSVILLE,FL,FL
289683,-1.0614069551621657,LONGS PEAK HOSPITAL,LENOX HILL HOSPITAL,1750 EAST KEN PRATT BOULEVARD,100 EAST 77TH STREET,NEW YORK,LONGMONT,NY,CO
73088,-1.0613477379602851,"THE OUTER BANKS HOSPITAL, INC",PIEDMONT MOUNTAINSIDE HOSPITAL INC,4800 SOUTH CROATAN HIGHWAY,1266 HIGHWAY 515 SOUTH,JASPER,NAGS HEAD,GA,NC
298405,-1.0594737762952373,STRATEGIC BEHAVIORAL CENTER-LELAND,PARK RIDGE HEALTH,2050 MERCANTILE DRIVE,100 HOSPITAL DRIVE,HENDERSONVILLE,LELAND,NC,NC
253957,-1.0585391437338438,PRAIRIE VIEW INC,NEWTON MEDICAL CENTER,1901 E FIRST STREET PO BOX 467,600 MEDICAL CENTER DRIVE,NEWTON,NEWTON,KS,KS
38372,-1.0557161974986848,BAYLOR MEDICAL CENTER AT TROPHY CLUB,BAYLOR MEDICAL CENTER AT IRVING,2850  E STATE HIGHWAY 114,1901 N MACARTHUR BLVD,IRVING,TROPHY CLUB,TX,TX
452384,-1.054476201667741,NORTHBROOK BEHAVIORAL HEALTH HOSPITAL,LAKE HEALTH,425  WOODBURY TURNERSVILLE ROAD,7590 AUBURN ROAD,CONCORD,BLACKWOOD,OH,NJ
377857,-1.0536990425630015,WEST FELICIANA PARISH HOSPITAL,REGIONAL WEST MEDICAL CENTER,"5266 COMMERCE STREET, BUILDING B",4021 AVE B,SCOTTSBLUFF,SAINT FRANCISVILLE,NE,LA
360100,-1.0532118264538244,BLACK HILLS SURGICAL HOSPITAL LLP,WEST HILLS HOSPITAL & MEDICAL CENTER,216 ANAMARIA DR,7300 MEDICAL CENTER DR,WEST HILLS,RAPID CITY,CA,SD
67623,-1.0529268811642816,CULBERSON HOSPITAL,METROPLEX HOSPITAL,EISENHOWER ROAD AND FM 2185,2201 S CLEAR CREEK ROAD,KILLEEN,VAN HORN,TX,TX
437077,-1.0509843214266084,"WALDEN BEHAVIORAL CARE, LLC",WINCHESTER HOSPITAL,9 HOPE AVENUE,41 HIGHLAND AVENUE,WINCHESTER,WALTHAM,MA,MA
434071,-1.0469193003021187,UNIVERSITY PEDIATRIC HOSPITAL,WEST VIRGINIA UNIVERSITY HOSPITALS,PUERTO RICO MEDICAL CENTER IN RIO PIEDRAS,MEDICAL CENTER DRIVE,MORGANTOWN,SAN JUAN,WV,PR
77144,-1.0468718122127116,SANTA FE PHS INDIAN HOSPITAL,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,1700 CERRILLOS ROAD,455 ST MICHAEL'S DRIVE,SANTA FE,SANTA FE,NM,NM
253042,-1.0456500328536575,TALLAHATCHIE CRITICAL ACCESS HOSPITAL,ST FRANCIS HOSPITAL,201 SOUTH MARKET ST / PO BOX 230,333 LAIDLEY ST,CHARLESTON,CHARLESTON,WV,MS
73534,-1.0450132519188093,STARR COUNTY MEMORIAL HOSPITAL,HENRY COUNTY MEMORIAL HOSPITAL,128  N FM RD 3167,1000 N 16TH ST,NEW CASTLE,RIO GRANDE CITY,IN,TX
121894,-1.0449817701353772,RAMAPO RIDGE PSYCH HOSP,MORRISTOWN MEDICAL CENTER,301 SICOMAC AVE,100 MADISON AVE,MORRISTOWN,WYCKOFF,NJ,NJ
104003,-1.0418092409677926,"SOUTHWELL MEDICAL, A CAMPUS OF TRMC",BAPTIST MEDICAL CENTER EAST,260 MJ TAYLOR ROAD,400 TAYLOR ROAD,MONTGOMERY,ADEL,AL,GA
197459,-1.0417871730691752,INSTITUTE FOR ORTHOPAEDIC SURGERY,ATRIUM MEDICAL CENTER,"801 MEDICAL DRIVE, SUITE B",ONE MEDICAL CENTER DRIVE,FRANKLIN,LIMA,OH,OH
331812,-1.0402579367527338,SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,MARY BLACK HEALTH SYSTEM SPARTANBURG,ONE HAVENWOOD LANE  PO BOX 1005,1700 SKYLYN DR PO BOX 3217,SPARTANBURG,TRAVELERS REST,SC,SC
187957,-1.037977924109028,ADVENTHEALTH MURRAY,MARIA PARHAM MEDICAL CENTER,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",PO BOX 59,HENDERSON,CHATSWORTH,NC,GA
568132,-1.0363820063845126,UMD REHABILITATION &  ORTHOPAEDIC INSTITUTE,SAINT AGNES HOSPITAL,2200 KERNAN DRIVE,900 CATON AVENUE,BALTIMORE,BALTIMORE,MD,MD
536248,-1.0349469409934409,COMMONWEALTH HEALTH CENTER,SHARON HOSPITAL,1 LOWER NAVY HILL ROAD (PO BOX 409CK),"50 HOSPITAL HILL ROAD, PO BOX 789",SHARON,GARAPAN,CT,MP
89286,-1.0320273303783045,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,DOMINICAN HOSPITAL,2900 CHANTICLEER AVENUE,1555 SOQUEL DRIVE,SANTA CRUZ,SANTA CRUZ,CA,CA
458808,-1.031748127861932,KERRVILLE STATE HOSP,PETERSON REGIONAL MEDICAL CENTER,721 THOMPSON DR,551 HILL COUNTRY DRIVE,KERRVILLE,KERRVILLE,TX,TX
118688,-1.0314451607226154,SONOMA DEVELOPMENTAL CENTER,CAPE FEAR VALLEY MEDICAL CENTER,15000 ARNOLD DRIVE   /  P O BOX 1493,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,ELDRIDGE,NC,CA
235927,-1.0304103431332714,CENTRACARE HEALTH - MONTICELLO,UNION HOSPITAL,1013 HART BOULEVARD,659 BOULEVARD,DOVER,MONTICELLO,OH,MN
415786,-1.0294205758960657,THE PHYSICIANS' HOSPITAL IN ANADARKO,ELKHART GENERAL HOSPITAL,1002 E CENTRAL BLVD,600 E BLVD,ELKHART,ANADARKO,IN,OK
156650,-1.0274843470520527,SAN LUKE'S MEMORIAL HOSPITAL INC,MEMORIAL HOSPITAL,TITO CASTRO AVE #917,1101 MICHIGAN AVE,LOGANSPORT,PONCE,IN,PR
175379,-1.0267198776253113,Blanchfield ACH (FT Campbell),JEWISH HOSPITAL - SHELBYVILLE,650 Joel Drive,727 HOSPITAL DRIVE,SHELBYVILLE,Fort Campbell,KY,KY
346353,-1.025756015048995,THE HOSPITALS OF PROVIDENCE HORIZON CITY CAMPUS,"HOSPITAL OF CENTRAL CONNECTICUT, THE","13600 HORIZON STREET, SUITE 100",100 GRAND STREET,NEW BRITAIN,HORIZON CITY,CT,TX
210818,-1.0249134321119473,WINNEBAGO MENTAL HEALTH INSTITUTE,WOODHULL MEDICAL AND MENTAL HEALTH CENTER,4100 TREFFERT DR,760 BROADWAY,BROOKLYN,WINNEBAGO,NY,WI
508800,-1.0243952760080406,HELEN HAYES HOSPITAL,SHERMAN HOSPITAL,51 NORTH ROUTE 9W,1425 NORTH RANDALL ROAD,ELGIN,WEST HAVERSTRAW,IL,NY
303426,-1.0229911384928096,SHARP CORONADO HOSPITAL AND HLTHCR CTR,SHARP MEMORIAL HOSPITAL,250 PROSPECT PLACE,7901 FROST ST,SAN DIEGO,CORONADO,CA,CA
488924,-1.022354878260016,ORTHOPAEDIC HOSPITAL OF WISCONSIN,WESTCHESTER MEDICAL CENTER,475 W RIVER WOODS PKWY,100 WOODS RD,VALHALLA,GLENDALE,NY,WI
203374,-1.0204706983160272,BENNETT COUNTY HOSPITAL AND NURSING HOME - CAH,PRAIRIE LAKES HOSPITAL,102 MAJOR ALLEN   POST OFFICE BOX 70D,401 9TH AVENUE NW  POST OFFICE BOX 1210,WATERTOWN,MARTIN,SD,SD
370791,-1.020157644522492,SOUTH OAKS HOSP,ST MARY MEDICAL CENTER,400 SUNRISE HIGHWAY,18300 HIGHWAY 18,APPLE VALLEY,AMITYVILLE,CA,NY
196851,-1.0185589658259173,SHERMAN OAKS HOSPITAL,SHERMAN HOSPITAL,4929 VAN NUYS BLVD,1425 NORTH RANDALL ROAD,ELGIN,SHERMAN OAKS,IL,CA
538453,-1.0179939788421375,FLINT RIVER COMMUNITY HOSPITAL,WATSONVILLE COMMUNITY HOSPITAL,"509 SUMTER STREET, BOX 770",75 NIELSON STREET,WATSONVILLE,MONTEZUMA,CA,GA
354275,-1.0175369025603638,PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES,WINONA HEALTH SERVICES,1411 HIGHWAY 793 E,855 MANKATO AVENUE,WINONA,ELBOW LAKE,MN,MN
455984,-1.0162409325912563,PATTERSON HEALTH CENTER,WESLEY MEDICAL CENTER,485 N. KS HWY 2,550 N HILLSIDE STREET,WICHITA,ANTHONY,KS,KS
433877,-1.0156636302342383,THE CENTER FOR FORENSIC PSYCHIATRY,THE MEDICAL CENTER AT ALBANY,8303 PLATT ROAD,723 BURKESVILLE ROAD,ALBANY,SALINE,KY,MI
28455,-1.014728998205966,OKLAHOMA CENTER FOR ORTHOPAEDIC & MULTI-SP,INTEGRIS SOUTHWEST MEDICAL CENTER,8100 SOUTH WALKER BLDG C,4401 SOUTH WESTERN AVENUE,OKLAHOMA CITY,OKLAHOMA CITY,OK,OK
119094,-1.0144233964852423,FIRST HOSPITAL PANAMERICANO,MERCY HOSPITAL ANDERSON,STATE ROAD 787 KM 1  5,7500 STATE ROAD,CINCINNATI,CIDRA,OH,PR
347868,-1.0128148550201042,"ANIMAS SURGICAL HOSPITAL, LLC",MERCY REGIONAL MEDICAL CENTER,575 RIVERGATE LN,1010 THREE SPRINGS BLVD,DURANGO,DURANGO,CO,CO
12404,-1.0127888465472454,CLARKS SUMMIT STATE HOSPITAL,CLARION HOSPITAL,1451 HILLSIDE DRIVE,ONE HOSPITAL DRIVE,CLARION,CLARKS SUMMIT,PA,PA
283838,-1.0127020154180824,SELLS HOSPITAL,BLESSING HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",BROADWAY AT 11TH STREET,QUINCY,SELLS,IL,AZ
235712,-1.0123357925590883,WESTERN MENTAL HEALTH INSTITUTE,LINCOLN MEDICAL & MENTAL HEALTH CENTER,11100 OLD HWY 64 WEST,234 EAST 149TH STREET,BRONX,BOLIVAR,NY,TN
353243,-1.0102813505069628,HOLMES COUNTY HOSPITAL AND CLINICS,OHSU HOSPITAL AND CLINICS,239 BOWLING GREEN ROAD,3181 SW SAM JACKSON PARK ROAD,PORTLAND,LEXINGTON,OR,MS
110480,-1.0091311599850419,ALEXIAN BROTHERS BEHAVIORAL HLTH HOSP,ST ALEXIUS MEDICAL CENTER,1650 MOON LAKE BLVD,1555 N BARRINGTON RD,HOFFMAN ESTATES,HOFFMAN ESTATES,IL,IL
81152,-1.008275035862657,ADVENTIST HEALTH CLEARLAKE,SAINT JOSEPH HOSPITAL,15630 18TH AVE - HWY 53,1375 EAST 19TH AVE,DENVER,CLEARLAKE,CO,CA
140041,-1.0081640783972372,MOCCASSIN BEND MENTAL HEALTH INSTITUTE,ERLANGER MEDICAL CENTER,100 MOCCASIN BEND ROAD,975 E 3RD ST,CHATTANOOGA,CHATTANOOGA,TN,TN
86845,-1.007550919394237,Madigan AMC (FT Lewis),ST JOSEPH MEDICAL CENTER,9040 Jackson Avenue,1717 SOUTH J STREET,TACOMA,Tacoma,WA,WA
3303,-1.0061105823493544,JEFFERSON COUNTY HOSPITAL,THOMAS JEFFERSON UNIVERSITY HOSPITAL,INTERSECTION HYWS 81 & 70,111 SOUTH 11TH STREET,PHILADELPHIA,WAURIKA,PA,OK
485969,-1.0047968730114711,UAB CALLAHAN EYE HOSPITAL AUTHORITY,UNIVERSITY OF ALABAMA HOSPITAL,"1720 UNIVERSITY BLVD, SUITE 500",619 SOUTH 19TH STREET,BIRMINGHAM,BIRMINGHAM,AL,AL
285383,-1.0028294575557224,CHILDRENS HOSPITAL OF THE KINGS DAUGHTERS INC,SENTARA NORFOLK GENERAL HOSPITAL,601 CHILDREN'S LANE,600 GRESHAM DR,NORFOLK,NORFOLK,VA,VA
94358,-1.0027901155072132,ASCENSION BRIGHTON CENTER FOR RECOVERY,HENRY FORD HOSPITAL,12851 GRAND RIVER RD,2799 W GRAND BLVD,DETROIT,BRIGHTON,MI,MI
371022,-1.0021419780165226,"BHC MESILLA VALLEY HOSPITAL, LLC",MEMORIAL MEDICAL CENTER INC,3751 DEL REY BOULEVARD,2450 SOUTH TELSHOR BLVD,LAS CRUCES,LAS CRUCES,NM,NM
203130,-1.0016476232077745,WEBSTER COUNTY COMMUNITY HOSPITAL,CHI HEALTH GOOD SAMARITAN,"P O BOX 465, 621 N FRANKLIN ST","P O BOX 1990, 10 EAST 31ST ST",KEARNEY,RED CLOUD,NE,NE
521595,-0.9997536923700899,ROTHMAN ORTHOPAEDIC SPECIALTY HOSPITAL LLC,CLARION HOSPITAL,3300 TILLMAN DRIVE,ONE HOSPITAL DRIVE,CLARION,BENSALEM,PA,PA
438288,-0.9995433951327263,DOCTORS CENTER HOSPITAL BAYAMON,POMONA VALLEY HOSPITAL MEDICAL CENTER,9 J STREET EXT HERMANAS DAVILA,1798 N GAREY AVE,POMONA,BAYAMON,CA,PR
278626,-0.9990239815700335,RANKIN HOSPITAL MEDICAL CLINIC,MEDICAL CENTER HOSPITAL,1611 SPUR 576,500 W 4TH STREET,ODESSA,RANKIN,TX,TX
389195,-0.9988149471438728,MARCUS DALY MEMORIAL HOSPITAL - CAH,SCOTLAND MEMORIAL HOSPITAL,1200 WESTWOOD DR,500 LAUCHWOOD DR,LAURINBURG,HAMILTON,NC,MT
225986,-0.9968086548944111,ANDREW MCFARLAND MENTAL HLTH CTR,MERCY MEDICAL CTR,901 SOUTHWIND RD,271 CAREW STREET,SPRINGFIELD,SPRINGFIELD,MA,IL
568877,-0.9963334754395355,SERENITY SPRINGS SPECIALTY HOSPITAL,DESERT SPRINGS HOSPITAL,1495 FRAZIER ROAD,2075 EAST FLAMINGO ROAD,LAS VEGAS,RUSTON,NV,LA
252828,-0.9957909336479094,"ROLLING HILLS HOSPITAL, LLC",MERCY HOSPITAL ADA,1000 ROLLING HILLS LANE,430 NORTH MONTE VISTA,ADA,ADA,OK,OK
291394,-0.995395232611401,BMH-CALHOUN,ROPER HOSPITAL,140 BURKE-CALHOUN CITY ROAD,316 CALHOUN ST,CHARLESTON,CALHOUN CITY,SC,MS
445237,-0.9936331943676818,EMMA PENDLETON BRADLEY HOSPITAL,THE MIRIAM HOSPITAL,1011 VETERANS MEMORIAL PARKWAY,164 SUMMIT AVENUE,PROVIDENCE,EAST PROVIDENCE,RI,RI
353803,-0.9935630019757566,BRENTWOOD BEHAVIORAL HEALTHCARE OF MS,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,3531 EAST LAKELAND DRIVE,1100 EAST NORRIS DRIVE,OTTAWA,FLOWOOD,IL,MS
206212,-0.9932848105038219,HOPI HEALTH CARE CENTER,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",800 W 9TH ST,JASPER,POLACCA,IN,AZ
329933,-0.9912592037923545,GREATER EL MONTE COMMUNITY HOSPITAL,EL CAMPO MEMORIAL HOSPITAL,1701 SANTA ANITA AVE,303 SANDY CORNER RD,EL CAMPO,SOUTH EL MONTE,TX,CA
520937,-0.9900686376888389,CHANGEPOINT PSYCHIATRIC HOSPITAL,MEMORIAL HOSPITAL,1920 WEST COMMERCE DRIVE,4500 MEMORIAL DRIVE,BELLEVILLE,LAKESIDE,IL,AZ
173275,-0.9898475844940927,MARTIN COUNTY HOSPITAL DISTRICT,MARTIN GENERAL HOSPITAL,600 E INTERSTATE 20     PO BOX 640,310 S MCCASKEY RD P O BOX 1128,WILLIAMSTON,STANTON,NC,TX
455348,-0.9891665260004872,CEDAR CREST HOSPITAL & RTC,TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,3500 SOUTH IH-35,3000 N I-35,DENTON,BELTON,TX,TX
189234,-0.9865963409522011,LINDSAY MUNICIPAL HOSPITAL,MEMORIAL HOSPITAL,1305 W CHEROKEE STREET - HIGHWAY 19 WEST,1401 WEST LOCUST,STILWELL,LINDSAY,OK,OK
190754,-0.9865293940173989,BIG SPRING STATE HOSPITAL,SPECTRUM HEALTH BIG RAPIDS HOSPITAL,1901 NORTH HIGHWAY 87,605 OAK STREET,BIG RAPIDS,BIG SPRING,MI,TX
214097,-0.9846582474956654,LILLIAN M HUDSPETH MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,308 HUDSPETH,1204 MOUND ST,NACOGDOCHES,SONORA,TX,TX
81569,-0.9845558339654154,SPANISH PEAKS REGIONAL HEALTH CENTER,LABETTE HEALTH,23500 US HWY 160,1902 SOUTH US HWY 59,PARSONS,WALSENBURG,KS,CO
485397,-0.9839351763051067,HICKORY TRAIL HOSPITAL,PROVIDENCE MEMORIAL HOSPITAL,2000 N OLD HICKORY TRAIL,2001 N OREGON ST,EL PASO,DESOTO,TX,TX
469251,-0.9834142638828762,ALBERT J SOLNIT CHILDREN'S CENTER - SOUTH CAMPUS,ST VINCENT'S MEDICAL CENTER,915 RIVER ROAD,2800 MAIN ST,BRIDGEPORT,MIDDLETOWN,CT,CT
433676,-0.9827585950995747,GUADALUPE COUNTY HOSPITAL,LOVELACE REGIONAL HOSPITAL - ROSWELL,"117 CAMINO DE VIDA, SUITE 100",117 EAST 19TH STREET,ROSWELL,SANTA ROSA,NM,NM
277767,-0.9826811981261286,"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC",LEXINGTON MEMORIAL HOSPITAL INC,"P O BOX 278, 4800 HOSPITAL PARKWAY",250 HOSPITAL DRIVE PO BOX 1817,LEXINGTON,BEATRICE,NC,NE
47286,-0.9826663916252142,MURPHY MEDICAL CENTER INC,CLAIBORNE MEDICAL CENTER,3990 EAST US HIGHWAY 64 ALT,1850 OLD KNOXVILLE HIGHWAY,TAZEWELL,MURPHY,TN,NC
244260,-0.9826063437648781,JANE TODD CRAWFORD HOSPITAL,WAYNE MEMORIAL HOSPITAL,202-206 MILBY STREET,865 SOUTH FIRST STREET,JESUP,GREENSBURG,GA,KY
556533,-0.9817134094369255,TYLER HOLMES MEMORIAL HOSPITAL CAH,MEMORIAL HOSPITAL,409 TYLER HOLMES DRIVE,4500 MEMORIAL DRIVE,BELLEVILLE,WINONA,IL,MS
487081,-0.9816761036311668,BARAGA COUNTY MEMORIAL HOSPITAL,WINCHESTER HOSPITAL,18341 US HIGHWAY 41,41 HIGHLAND AVENUE,WINCHESTER,L' ANSE,MA,MI
338646,-0.9810344601799481,STRATEGIC BEHAVORIAL CENTER-GARNER,PROVIDENCE ALASKA MEDICAL CENTER,3200 WATERFIELD DRIVE,3200 PROVIDENCE DRIVE,ANCHORAGE,GARNER,AK,NC
536684,-0.9798217315280172,POWER COUNTY HOSPITAL DISTRICT,MADISON MEMORIAL HOSPITAL,510 ROOSEVELT STREET,450 EAST MAIN STREET,REXBURG,AMERICAN FALLS,ID,ID
355262,-0.9797751067106188,PROVIDENCE SEWARD HOSPITAL,BELLEVUE HOSPITAL CENTER,"417 FIRST AVENUE, PO BOX 365",462 FIRST AVENUE,NEW YORK,SEWARD,NY,AK
550405,-0.9797427662216298,NMC Camp Lejeune,BRISTOL HOSPITAL,100 Brewster Boulevard,BREWSTER RD,BRISTOL,Camp Lejeune,CT,NC
315636,-0.9791651548171099,COTEAU DES PRAIRIES HEALTH CARE SYSTEM,UNIVERSITY HEALTH SYSTEM,205 ORCHARD DR,4502 MEDICAL DR,SAN ANTONIO,SISSETON,TX,SD
201127,-0.9787380815482702,BHC ALHAMBRA HOSP,ALHAMBRA HOSPITAL MEDICAL CENTER,4619 N ROSEMEAD BLVD,100 S RAYMOND AVE,ALHAMBRA,ROSEMEAD,CA,CA
399725,-0.9782236342611771,SURGEONS CHOICE MEDICAL CENTER,CRITTENTON HOSPITAL MEDICAL CENTER,22401 FOSTER WINTER DRIVE,1101 W UNIVERSITY DRIVE,ROCHESTER,SOUTHFIELD,MI,MI
11950,-0.9775193667460422,TEXAS GENERAL HOSPITAL- VZRMC LP,MIZELL MEMORIAL HOSPITAL,707 N WALDRIP ST,702 N MAIN ST,OPP,GRAND SALINE,AL,TX
193589,-0.9768630715450844,SURGICAL INSTITUTE OF READING,READING HOSPITAL,2752 CENTURY BOULEVARD,SIXTH AVENUE AND SPRUCE ST,READING,WYOMISSING,PA,PA
225557,-0.9768153622899275,"APOLLO BEHAVIORAL HEALTH HOSPITAL, L L C",BATON ROUGE GENERAL MEDICAL CENTER,9938 AIRLINE HWY,3600 FLORIDA BLVD,BATON ROUGE,BATON ROUGE,LA,LA
79584,-0.9761743139226879,CENTRACARE HEALTH SYSTEM - LONG PRAIRIE,GENESIS HEALTH SYSTEM,50 CENTRACARE DRIVE,801 ILLINI DRIVE,SILVIS,LONG PRAIRIE,IL,MN
492915,-0.9753573774980541,Walter Reed National Military Med Cen,RIVERSIDE WALTER REED HOSPITAL,8901 Rockville Pike,7519 HOSPITAL ROAD,GLOUCESTER,Bethesda,VA,MD
28062,-0.9718554320861524,"DEWITT HOSPITAL & NURSING HOME, INC",ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,1641 WHITEHEAD DRIVE,311 SOUTH CLARK STREET,CARROLL,DE WITT,IA,AR
566853,-0.9686530895206947,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,HIGHLAND HOSPITAL,"2633 E 27TH STREET, BUILDING B",1411 E 31ST STREET,OAKLAND,OAKLAND,CA,CA
495730,-0.9686454899188954,ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,ASPIRUS WAUSAU HOSPITAL,410 DEWEY ST,333 PINE RIDGE BLVD,WAUSAU,WISCONSIN RAPIDS,WI,WI
442033,-0.9678855977403021,MAHASKA  HEALTH PARTNERSHIP,SUMMA HEALTH SYSTEM,1229 C AVENUE EAST,525 EAST MARKET STREET,AKRON,OSKALOOSA,OH,IA
146934,-0.9675151029184534,KAUAI VETERANS MEMORIAL HOSPITAL,MEMORIAL HOSPITAL,4643 WAIMEA CANYON DRIVE,4500 MEMORIAL DRIVE,BELLEVILLE,WAIMEA,IL,HI
